epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec
1,0.4164287497458309,0.00037212026635776894,0.4626572720487977,0.00074621793137167,22.320190508218737,0.9218984116310192,0.00029394005426365766,0.00024348193640965596,0.005289293599775798,0.0006857104239497857,21.535970991134644,0.940619603941838
1,0.00028473319228814684,0.00025553261781962683,0.0031755898603413614,0.0005981788864804507,22.852049200455724,0.9502556852961038,0.0002280872444415157,0.00021894305139843104,0.0011333621550999548,0.0006208121557416841,22.061214810530345,0.9465360708435376
2,0.00022382189535427732,0.0002147673748501729,0.001120219243344436,0.0005627245921489862,23.016941671687846,0.9560157870653117,0.00022165294794695002,0.00021166555757463356,0.0012104044401433688,0.0005340319549880709,22.943536922136943,0.9498212322592735
3,0.00021897372001739577,0.00021035641830641295,0.0010720864354888799,0.0005569960606136576,23.062088231904813,0.9567228735764445,0.0002181176623889769,0.00021132997019556872,0.0008900990009155976,0.0005824847245833856,22.626598762989044,0.9502948771814506
4,0.00021512984031683355,0.00020686267610028016,0.0010335788645801439,0.0005527932769414787,23.080592404044634,0.9567874035846565,0.00022247902128917,0.00021421947862396943,0.0010401735727549142,0.0006590797433297363,21.680470997015636,0.9488922446668148
5,0.00021440925883717938,0.00020608504238867826,0.0010385065377023406,0.0005519276328500188,23.088049206123532,0.9569926073342138,0.00023648052078927625,0.00022948949552179936,0.0009285918159002904,0.00041995740564319323,23.792327406724294,0.9555332073668639
6,0.00021356868760944985,0.00020580524024028072,0.00098214978654262,0.0005501408348691989,23.097333476441733,0.9572039759978299,0.00020842097408725144,0.0002021353972824424,0.0008306928924230306,0.0005318424655197304,22.65086113993327,0.9531760258277258
7,0.0002117586960654399,0.00020426805761490475,0.0009533317558733874,0.0005477088112086145,23.109194043688298,0.9573995225237444,0.00020896882408313408,0.00020339097024016912,0.0007611761972460347,0.0005701032081924496,22.251674036184948,0.9534864942729473
8,0.00021122737794181264,0.00020366499743711808,0.0009599028904389886,0.0005495214485977136,23.102304704946363,0.9574525753892429,0.00021013707357269595,0.00020355870687687152,0.0008613952207633702,0.0005215248005030541,23.017364566961923,0.952644969989856
9,0.0002105999269178722,0.00020341579513020165,0.0009218287739463556,0.0005479660588970421,23.109564146159386,0.9574662720281366,0.00020773554307425003,0.00019937404087378734,0.0010355240717763081,0.00048560667010012065,23.25004459969203,0.953534798592329
10,0.00021009958003715489,0.00020276763436879127,0.0009359620177113645,0.0005476655225711985,23.11050724870221,0.9575200855590721,0.00021722436525836505,0.00020825729648792427,0.001104964001569897,0.0006251094678906763,22.25449396721522,0.9486746727625529
11,0.00020807856441170896,0.00020099458942201951,0.0009093919096644791,0.0005485822309194225,23.10559629829009,0.9575568089411722,0.00021003128391021165,0.00020293410159327626,0.0009126521458795954,0.0005312106699675496,22.7585524875323,0.9536650563379129
12,0.00020839779500028016,0.00020136806882641465,0.0009043405012277802,0.0005475420979159483,23.114797901768256,0.9575585145238451,0.00021053464659992946,0.00019849986717129773,0.0014019776497310279,0.0004944711911787938,23.09698603550593,0.9545903523961703
13,0.00020918698096703033,0.0002019793437758678,0.0009227429171574469,0.0005476202103899685,23.115791232665003,0.9575863513760092,0.00020718947379653704,0.00020139985036909518,0.0007803620431574625,0.0005183727502311134,23.037496512730915,0.9531408858299255
14,0.00020849890817288902,0.0002013901275815994,0.0009122680107772161,0.0005462178012843893,23.121537875225194,0.9576957297127394,0.00020691466270833796,0.00020029960312096287,0.0008618053959967255,0.0005823309656807396,22.566347081184386,0.9518103829920291
15,0.0002085133326381679,0.00020145618952668694,0.0009071703084912239,0.0005449978817131269,23.125985999807927,0.9577086580590615,0.00020759113399572014,0.00020191733820574124,0.0007692967473428023,0.000529345741745298,22.949162670612335,0.9520914067327976
16,0.00020602407501911152,0.00019914385319641357,0.0008871658882487596,0.0005451096690431462,23.126448430156255,0.9577728707643481,0.00021055664124628492,0.00020456953106971317,0.0008032803791168893,0.0005245551167354279,22.806256328264872,0.9550561886131763
17,0.00020721269628282425,0.0002002898003221589,0.0008925792165759894,0.0005452395065412283,23.132255972279193,0.9578263616251155,0.00020095660605124976,0.00019351338959935067,0.0009378348680535661,0.0005703288713048096,22.486914921601613,0.9528421031236649
18,0.00020628921775948985,0.0001992881549965045,0.0008993942812758264,0.0005464262577459013,23.116526427427175,0.9578349629143403,0.00021220658162921305,0.00020256049027875633,0.0011671694593642314,0.000573413355074687,22.48407432937622,0.9510126121441523
19,0.00020706748203109615,0.00020007874232648443,0.0008989525648891612,0.000545989895774376,23.12423947411126,0.9578198278543508,0.00020896131652125405,0.00020247806193901853,0.000850803347555484,0.0005598991896398123,22.64197997601827,0.9522294198175272
20,0.00020668599317669626,0.00019970333255191281,0.0008979692355281634,0.0005464449793710572,23.12115325520954,0.9577937684776658,0.00020660979336124303,0.000198977495596561,0.0009622071154905522,0.0005202269128494663,22.872132694880168,0.9522594768603643
21,0.00020652655925548202,0.00019963285441952316,0.0008890031648579636,0.0005445043051626944,23.13752232004681,0.9578166830737443,0.00020686128549634,0.00019960441853496985,0.0009252909659141248,0.0005432393382858815,22.49832772620519,0.9531437263687451
22,0.00020756820676160284,0.00020049119627716183,0.0009081920852536508,0.0005455838975464038,23.122707726266146,0.9578206297628122,0.00021923839501429636,0.00021056956675496015,0.0010774522064051174,0.0004436692902891082,23.628396433035533,0.9556438082456589
23,0.00020639344507644076,0.00019945095487571238,0.0008936997853253717,0.0005459894918380372,23.1233099331788,0.9577658064133748,0.00021086384623390586,0.0002039095787322367,0.0008993361551568645,0.0005928704604351272,22.538014071941376,0.9504295725524425
24,0.00020539193495945846,0.00019889473072675243,0.0008486149868055057,0.0005439107585063875,23.13285636223888,0.9578919885282833,0.0002098903304825702,0.00020494008535304904,0.0006999644066660645,0.0006260346613829218,22.211674999396006,0.9494430497288704
25,0.00020452950808265958,0.00019807615587407815,0.0008434112199887818,0.0005448383427560506,23.126813644481498,0.9579490980407073,0.00020276395675470363,0.000196225158080703,0.0008501048646598975,0.0005098376860569261,22.978452172756196,0.9538058457473914
26,0.00020535429379275462,0.00019875076159482305,0.0008591038122650686,0.0005441257972612324,23.127664025925913,0.9579029527461924,0.0002080466174289389,0.00019511468375723478,0.001488307887141976,0.0005451602669212056,22.73600418249766,0.952343141545852
27,0.00020477992290549832,0.00019811523599071225,0.0008645837701224254,0.0005437682486005167,23.130566662521723,0.9579200435306223,0.00020142469287854207,0.00019494264349358066,0.0008431474003917477,0.0005363637507725798,22.738623728434245,0.9530714020133019
