epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec
1,0.4713066721134223,0.00040182866730522563,0.5236294473178235,0.00074421511445072,22.494095455413746,0.9211884822996589,0.00037290613557676504,0.0002454438024185492,0.0015200671679597992,0.0006483668274498389,21.877127540270486,0.9423515392343204
1,0.0002817969602651031,0.00023984491186612616,0.0006593654322615462,0.0005866089049269891,22.866091357588203,0.9525614860357267,0.0002209962460016565,0.00022980253966261443,0.00014173965467072471,0.0005740234051669783,22.903757604122163,0.9470856523712476
2,0.00021348544374045968,0.00022440788291132086,0.00011518354446202918,0.000569617009726662,22.9449184200775,0.9560033799065233,0.00021336735865876713,0.0002219156384026064,0.00013643289336998047,0.0005574302598124632,22.91181476434072,0.950303288380305
3,0.00020510774860693743,0.00021959424352795283,7.472934262446758e-05,0.0005688436480194343,22.95772388874072,0.9563616861664288,0.00020642090471195237,0.00022266589654244248,6.02160304182083e-05,0.0005110373543999837,22.885384447574616,0.953292153596878
4,0.00020402839327806504,0.0002198050517617268,6.203851979218288e-05,0.000565289786213488,22.97059111346566,0.9566485684064893,0.00019972942181910487,0.00021695291176244307,4.471806111655496e-05,0.0005925282503606771,22.462512785275777,0.9503343317310016
5,0.00020237225725442962,0.0002189687642109386,5.300374569824314e-05,0.0005655822031568489,22.977594687475413,0.9567600331176513,0.00021198795309017743,0.00022454392798916463,9.898422979199495e-05,0.0005853795413816745,22.957472558816274,0.9471338134010633
6,0.000201580740222586,0.00021855712616752714,4.879331791706403e-05,0.0005645441078697883,22.971098780067045,0.9568493479942258,0.00020214235565481432,0.00021994902027518037,4.188242468694625e-05,0.0006113128235374461,22.155894622008006,0.9507845521668593
7,0.0001998727388799431,0.0002172062895322821,4.387083355050412e-05,0.0005641462269553063,22.98566806937846,0.957043728769108,0.00020824933100175257,0.00022532259359316715,5.459002142993086e-05,0.0006162672450482205,21.825590685685476,0.9532820044755935
8,0.00019978002706765786,0.00021764928972890923,3.895671552979939e-05,0.0005647649400110546,22.976496721330978,0.9569850028691134,0.00020383869865221035,0.00022378043356115996,2.436313712670805e-05,0.0006405729218616519,22.23797578493754,0.948250497341156
9,0.00019913527310098426,0.0002170986869985953,3.746459869771958e-05,0.0005647751916284337,22.979619326749685,0.9569586218815844,0.0001996263052218031,0.00021748577544773677,3.889112512986988e-05,0.0005604412298028668,22.608477082411447,0.9517065672874451
10,0.0001983592162204336,0.0002166306392833981,3.3916457501377045e-05,0.000562976138865999,22.99189428808565,0.9570439090660963,0.0002052255120567376,0.00021831992974064937,8.737580056958905e-05,0.0005885255849971145,22.282365062713623,0.9525840902825197
11,0.00019799829133434807,0.0002162858028240972,3.341073965896643e-05,0.0005634624975975117,22.98365978720064,0.9570951149644444,0.00019868077388332495,0.00021857243764732934,1.9655852444088852e-05,0.0005643907456760644,22.820663044134776,0.950820942401886
12,0.00019769571334376306,0.00021611991568021058,3.1877942421996744e-05,0.0005631110780517641,22.988550041524157,0.9570547576057967,0.00019953814536605326,0.00021920125483499455,2.257021049206287e-05,0.0005189733641661102,22.933090195496877,0.9533561447064082
13,0.00019812965416280505,0.00021685342186407,2.9615795068674617e-05,0.0005618297454326687,22.99718229465575,0.9571091394995062,0.0002006801651831059,0.00021671348321804847,5.638035575141961e-05,0.0005280136318160657,22.92657706642151,0.9539596619506677
