patch_size,pretraining_epochs,n_samples,theta_val,sigmaRui_sq,wssb_Lung_test_loss,wssb_Lung_test_loss_mse,wssb_Lung_test_loss_kl,wssb_Lung_test_mse_rec,wssb_Lung_test_psnr_rec,wssb_Lung_test_ssim_rec,wssb_Lung_test_mse_gt_h,wssb_Lung_test_mse_gt_e,wssb_Lung_test_psnr_gt_h,wssb_Lung_test_psnr_gt_e,wssb_Lung_test_ssim_gt_h,wssb_Lung_test_ssim_gt_e,wssb_Breast_test_loss,wssb_Breast_test_loss_mse,wssb_Breast_test_loss_kl,wssb_Breast_test_mse_rec,wssb_Breast_test_psnr_rec,wssb_Breast_test_ssim_rec,wssb_Breast_test_mse_gt_h,wssb_Breast_test_mse_gt_e,wssb_Breast_test_psnr_gt_h,wssb_Breast_test_psnr_gt_e,wssb_Breast_test_ssim_gt_h,wssb_Breast_test_ssim_gt_e,wssb_Colon_test_loss,wssb_Colon_test_loss_mse,wssb_Colon_test_loss_kl,wssb_Colon_test_mse_rec,wssb_Colon_test_psnr_rec,wssb_Colon_test_ssim_rec,wssb_Colon_test_mse_gt_h,wssb_Colon_test_mse_gt_e,wssb_Colon_test_psnr_gt_h,wssb_Colon_test_psnr_gt_e,wssb_Colon_test_ssim_gt_h,wssb_Colon_test_ssim_gt_e
224,0,60000,0.1,0.05,0.16010084748268127,0.0005023317789891735,1.5964874923229218,4.3670262584782904e-05,33.32842397689819,0.976759523153305,0.06532464921474457,0.01801821682602167,26.481891632080078,23.919272422790527,0.9601727724075317,0.9913244098424911,0.1976584941148758,0.001453471709586059,1.963503658771515,0.00031441339281930897,24.78452142079671,0.9546789725621542,0.16927671432495117,0.09557625527183215,22.336589177449543,18.716469764709473,0.9214224418004354,0.9563932915528616,0.04577553564948695,0.0004137581033449221,0.4540315249136516,2.9241232498731862e-05,34.38172830854143,0.9797918966838292,0.11148273066750594,0.03227169745202575,22.46329661778041,19.950899124145508,0.9386206354413714,0.8873730727604457
224,0,60000,0.25,0.05,0.4065322056412697,9.461617719352944e-05,1.625844955444336,0.0001555742564960383,27.974905014038086,0.9646904617547989,0.06971248332411051,0.018176278797909617,23.17884635925293,23.56448268890381,0.9235944151878357,0.9903997331857681,0.45925122996171314,0.0003992335987277329,1.8358072241147358,0.0006784029004241651,22.37499459584554,0.9454908867677053,0.18060649931430817,0.09691841217378776,18.233721097310383,18.57668177286784,0.880852202574412,0.954521248737971,0.09834203869104385,0.00015400183162585433,0.3929061506475721,0.00025280449751465185,26.52362837110247,0.9660498883043017,0.11896502199981894,0.032595068349369934,18.864663941519602,19.73755509512765,0.9031340777873993,0.881475533757891
224,0,60000,0.5,0.05,2.152880370616913,0.0003154730802634731,4.305445313453674,0.0001385192354064202,29.059330463409424,0.9776253551244736,0.06922698300331831,0.01796294655650854,23.512047290802002,23.92858648300171,0.9386214166879654,0.990828737616539,2.104503035545349,0.000827107027968547,4.2081789175669355,0.00048167006752919406,24.394469261169434,0.9476021031538645,0.17869144678115845,0.09591302524010341,18.94614855448405,18.648380279541016,0.9019221067428589,0.9564605454603831,0.3478904685803822,0.00020758474797081102,0.6955733469554356,0.0001960027288337837,28.12759304046631,0.9733635016850063,0.11786987659122262,0.03236264715503369,19.44396414075579,19.924077442714147,0.9168055951595306,0.8852518456322807
224,0,60000,0.75,0.05,0.3795462101697922,0.00010747295073088026,0.5060258060693741,0.00015587519919790793,27.562195301055908,0.9540542960166931,0.06926216837018728,0.01814245106652379,23.456231594085693,23.61694049835205,0.923294797539711,0.990932509303093,0.4201410512129466,0.0002462864613335114,0.5601059595743815,0.0007951710867928341,21.038964589436848,0.9414660533269247,0.1797532911101977,0.09678382488588493,18.391230901082356,18.2253573735555,0.8794115483760834,0.9536055525143942,0.12195613288453647,0.00011375755769092523,0.16257025940077646,0.00023162572532393306,26.555744852338517,0.9632854887417385,0.11829630312110696,0.03253622133550899,19.227310180664062,19.79641846248082,0.9049642298902784,0.8848133853503636
224,0,60000,0.9,0.05,2.450231611728668,0.00012099911145924125,2.7224661707878113,0.00013483190741681028,28.829798698425293,0.964045062661171,0.0694474121555686,0.018023549346253276,23.48791742324829,23.78518533706665,0.9291439056396484,0.9909473359584808,2.4472097555796304,0.00047225524273623404,2.719069560368856,0.0006253857281990349,22.676000595092773,0.9433008134365082,0.1801795649031798,0.09649126666287582,18.482701619466145,18.49720573425293,0.886744886636734,0.9549580514431,0.6006124147347042,0.0001812049404179561,0.6673270165920258,0.0002242713890154846,27.206574984959193,0.9664836653641292,0.11866207314389092,0.032414022367447615,19.145260674612864,19.829691205705917,0.90696753348623,0.8838929235935211
224,1,60000,0.1,0.05,0.2660103589296341,0.00019950159912696108,2.6583080887794495,0.00013167577708372846,28.987662315368652,0.9736336022615433,0.06932133343070745,0.01800338039174676,23.519623279571533,23.763299465179443,0.9378158003091812,0.9909194707870483,0.2856104026238124,0.0010441109091819574,2.846707026163737,0.000546480601769872,23.495189984639484,0.9471026360988617,0.17941427727540335,0.09633504661420982,18.724768956502277,18.61270586649577,0.9001682698726654,0.9555291930834452,0.059252554550766945,0.00018016268690449318,0.5909040825707572,0.00020933565610903315,27.61130428314209,0.9723895788192749,0.11818322060363633,0.032437099875616174,19.28738021850586,19.822397095816477,0.9161551552159446,0.8847494338239942
224,1,60000,0.25,0.05,1.189140871167183,0.00018641638234839775,4.756004214286804,0.0001364930267300224,29.075310707092285,0.974149540066719,0.06926012597978115,0.018022614531219006,23.640554428100586,23.856426239013672,0.9336090534925461,0.9907539635896683,1.3148274421691895,0.0012529559123019378,5.255550940831502,0.0004975688643753529,24.338886260986328,0.9446267485618591,0.1795902488132318,0.09567302651703358,18.757544199625652,18.483150800069172,0.8980110287666321,0.9560832977294922,0.2642748845475061,0.0002155222490338409,1.056452989578247,0.00020331250457924658,28.17608846936907,0.9721401631832123,0.11818723167691912,0.032344509315277846,19.400136402675084,20.020510537283762,0.9136262919221606,0.8845127608094897
224,1,60000,0.5,0.05,4.421576797962189,0.0005139828281244263,8.842639803886414,0.00017066696091205813,28.006417751312256,0.9759298712015152,0.06956159044057131,0.018135810736566782,23.286365509033203,23.63520097732544,0.9325776994228363,0.9905913472175598,4.445950945218404,0.00182589089187483,8.890075922012329,0.0005766484876706576,23.870786984761555,0.9416516721248627,0.1799070214231809,0.09633746494849522,18.598512331644695,18.091349919637043,0.8990836640199026,0.9559163153171539,0.657723184142794,0.0002009169277568747,1.31524544102805,0.00022084039301262237,27.786798340933665,0.9717997653143746,0.1183953873280968,0.032482556865683625,19.239093916756765,19.993170874459402,0.9123909175395966,0.8840384525912148
224,1,60000,0.75,0.05,4.66564816236496,0.0003316118563816417,6.2207536697387695,0.00014816192924627103,28.480581283569336,0.9723220765590668,0.06930319033563137,0.018175561213865876,23.617628574371338,23.539417266845703,0.9335399568080902,0.9903795123100281,4.717120846112569,0.0014310759482517217,6.289017518361409,0.0005008871182023237,24.26551405588786,0.9467775225639343,0.17964552467068037,0.09585184355576833,18.695825576782227,18.232291221618652,0.8934260209401449,0.9554376403490702,0.8126758422170367,0.0001932793456944637,1.0835033910615104,0.00019984042384229333,27.996726036071777,0.9712027864796775,0.11823827773332596,0.03239906579256058,19.37440722329276,19.962391444614955,0.9113747647830418,0.8813817926815578
224,1,60000,0.9,0.05,2.0527369379997253,0.00020088143355678767,2.280796527862549,0.0001284084628423443,28.86929988861084,0.9593167752027512,0.06923884712159634,0.018172634998336434,23.574368000030518,23.457088470458984,0.9234130680561066,0.9903504997491837,2.674116373062134,0.0007964085913651312,2.9711519877115884,0.0006021601099443311,22.652750651041668,0.9457172552744547,0.18022175878286362,0.09604418029387791,18.413777033487957,18.324519157409668,0.8831501503785452,0.9534672300020853,0.6422939811434064,0.00010117462248412526,0.7136487407343728,0.00019864326480144103,27.672770227704728,0.9659618820462909,0.11833257148308414,0.03245390645627465,19.325295993259974,19.743021965026855,0.9040761291980743,0.880652802331107
