cnet_name,mnet_name,patch_size,pretraining_epochs,n_samples,theta_val,sigmaRui_sq,camelyon_train_loss,camelyon_train_loss_mse,camelyon_train_loss_kl,camelyon_train_mse_rec,camelyon_train_psnr_rec,camelyon_train_ssim_rec,camelyon_test_loss,camelyon_test_loss_mse,camelyon_test_loss_kl,camelyon_test_mse_rec,camelyon_test_psnr_rec,camelyon_test_ssim_rec
unet6sft,mobilenetv3s,224,1,60000,1.0,0.05,0.009857332764850273,33.341172955519625,0.009857332764850273,0.00031314157328344867,27.113134177049,0.9395764825940132,0.008542750325176712,83.64726997919877,0.008542750325176712,0.001032855328077858,20.56099732208252,0.945193399677674
unet6sft,mobilenetv3s,224,1,60000,0.9,0.05,2.2743105952491365,21.75670900558763,0.10959962250580106,0.00018047672799929791,30.20167173078325,0.969014131685098,7.205318024606754,71.55144791435202,0.0557479057314146,0.0008489608155510572,21.81809059270223,0.968259108915925
unet6sft,mobilenetv3s,224,1,60000,0.8,0.05,4.801825618607302,23.643183957224092,0.0914859309473282,0.00018490185069557205,30.513784724765355,0.9715003321799967,15.74465088651081,78.0464860670666,0.16919177505606786,0.0008607925515965841,21.561395524263382,0.9686597756048043
unet6sft,mobilenetv3s,224,1,60000,0.7,0.05,6.7057499383994275,21.612723296809527,0.3170467062722374,0.00016341872797766478,30.806803397390578,0.9737560198704401,20.227723317782083,66.24307018614311,0.506859235500684,0.0006971280521728432,22.29776657430331,0.9729049663196008
unet6sft,mobilenetv3s,224,1,60000,0.6,0.05,9.266827121415073,22.43782773323854,0.4861597617402052,0.0001753011606053355,30.789950467745463,0.9724700573020512,30.60054629266262,74.60273148937027,1.265755253711405,0.0007391675725399789,22.101755886236827,0.970860280290246
unet6sft,mobilenetv3s,224,1,60000,0.5,0.05,11.295901352142295,21.76521761256125,0.8265850888031224,0.00016097713255035413,31.210770259009468,0.9750881560643514,36.19653483727574,70.90562017945449,1.4874495016088087,0.0006884082010880282,22.83669274822871,0.973317467674613
unet6sft,mobilenetv3s,224,1,60000,0.4,0.05,13.092122620046139,20.891885724547837,1.3924767132206923,0.00016305650387917264,30.626339658313327,0.9749904547035694,49.37455489469568,81.13811791772643,1.7292054763076206,0.0007285906946940106,22.19606165870031,0.9738591294835011
unet6sft,mobilenetv3s,224,1,60000,0.3,0.05,12.643101185381413,17.18520933808386,2.044849352510439,0.00011825487657684637,31.83160058254666,0.9788614527914259,43.05412214537461,60.50290236924092,2.3403037599921226,0.0005323330259363199,23.731101295630136,0.9794077631086111
unet6sft,mobilenetv3s,224,1,60000,0.2,0.05,15.437398318032423,18.51347786104679,3.133078787651327,0.00012934258857504548,31.821667478031582,0.9781708229250378,55.537465919703244,68.47193877035379,3.799569759229819,0.000560821807558303,23.594426134427387,0.9779672653228044
unet6sft,mobilenetv3s,224,1,60000,0.1,0.05,18.799425978293023,20.299599139468537,5.2978722991546,0.00014136352121838373,31.53673245069716,0.9781531844966942,63.656105432430905,70.08649286818505,5.782635278622309,0.0005515105861483486,23.487277151107786,0.9780708448141813
unet6sft,mobilenetv3s,224,1,60000,0.0,0.05,19.565478097268276,19.565478097268276,22.771689361201393,0.00013028595235246282,31.565581464555528,0.9786359463168515,68.75216393103202,68.75216393103202,23.144191066741943,0.00046189214841266827,24.45788183069229,0.9801276535242796
unet6,mobilenetv3s,224,1,60000,0.6,0.05,9.162906152966949,21.048474642813204,1.23919352534165,0.00024408263395495546,27.50195603487227,0.971240393522713,31.521597198029358,76.12224743079146,1.7878294639711578,0.0008150933031938621,21.467840696970622,0.9708788909415405
unet6,mobilenetv3s,224,1,60000,0.5,0.05,11.065845756093662,20.1931489356839,1.9385425833413998,0.00020101301309346633,28.606883808665806,0.9744188859197829,32.056061063726744,61.62868604965011,2.483436067432165,0.0006570502066327511,22.527817501703897,0.9753019254803658
unet6,mobilenetv3s,224,1,60000,0.4,0.05,13.819874084376627,21.177576743801435,2.783318763481246,0.0001945870031592373,28.81154462422265,0.97402255177829,44.29042226823171,71.43654023118813,3.5712410360823075,0.0006702601952086601,22.43505545568466,0.9741035228421291
unet6,mobilenetv3s,224,1,60000,0.3,0.05,16.047752775821422,21.226220769493118,3.9646613483958775,0.00016310988966658139,29.86713450802697,0.9776131752265824,52.65598828242222,73.27272923109929,4.550261764963468,0.0006089218207656207,22.78894701997439,0.9775528580397368
