epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec,val_mse_gt,val_mse_gt_h,val_mse_gt_e,val_psnr_gt,val_psnr_gt_h,val_psnr_gt_e,val_ssim_gt,val_ssim_gt_h,val_ssim_gt_e
1,2571.563077230589,3277.672257337525,923.9751037669972,0.0009054535944436517,24.73988434036761,0.9229900100714222,1252.5673179626465,1788.1694111029308,2.8291080594062805,0.00018849187290470582,29.46202842394511,0.9647990837693214,0.08008239868407448,0.10712423703322808,0.0530405599080647,19.535600185394287,21.560217301050823,17.510983109474182,0.7814617156982422,0.8993330424030622,0.6635903952022394
2,529.944619346004,603.7677081862897,357.69075189382545,8.134012709866787e-05,31.265926074077733,0.979359726275878,950.1538576285044,1356.1624963283539,2.8005457123120627,0.00016410710766952738,29.993684609731037,0.9703491578499476,0.07941368998338778,0.10700086550787091,0.0518265157006681,20.81243896484375,23.060937881469727,18.563940127690632,0.8178257370988528,0.9197825118899345,0.7158689722418785
3,467.7950629284032,517.9998908743474,350.6504674974776,7.06363261954363e-05,31.760988549598586,0.9805895020893964,1212.5785542329152,1731.0840501785278,2.732424179712931,0.00014963196281314595,29.84617026646932,0.9728582998116811,0.07911122962832451,0.10715733965237935,0.05106511840131134,21.493897279103596,23.65914257367452,19.328651746114094,0.8286089847485224,0.9277270262440046,0.7294909519453844
4,432.56901286337614,473.42082138423103,337.2481299666997,6.711725858777405e-05,31.916794390475015,0.9808186772875311,827.3265686035156,1180.7850642999013,2.59010057648023,0.00014061135357223975,30.20566987991333,0.9746941154201826,0.07905499606082837,0.10682555753737688,0.05128443470069518,21.344590822855633,23.517481009165447,19.171700755755108,0.834350143869718,0.9302131161093712,0.7384871803224087
5,407.0318737662799,441.30585888324754,327.05924577396627,6.441355523028079e-05,32.009583782810736,0.9809431877181428,1053.5624587535858,1504.0475387573242,2.430660665035248,0.0001575338750778125,29.5806622505188,0.9741798068086306,0.07997419452294707,0.10937630323072274,0.05057208829869827,21.650459448496502,23.928128798802693,19.37279001871745,0.8209522565205892,0.931475726266702,0.7104287855327129
6,395.02705741267636,426.65248765990634,321.2343876553938,6.364838903369087e-05,32.036863250190045,0.9809579014495651,1149.1015351216,1640.5766019821167,2.326447201271852,0.00015008813890441766,29.743746836980183,0.9748386591672897,0.07943684374913573,0.1090153221351405,0.049858364587028824,22.271008253097534,24.464133818944294,20.077882409095764,0.8376987501978874,0.9357116868098577,0.7396857974429926
7,380.97101097649306,410.3897757146031,312.3272305710056,6.352110219625834e-05,32.005690726058745,0.9810003095187282,858.6744790871938,1225.6470888455708,2.4050701558589935,0.00018385846245413026,28.3152494430542,0.9746954043706259,0.07996736047789454,0.11036639908949535,0.049568322176734604,22.704012314478557,25.274375041325886,20.133649706840515,0.8388951495289803,0.9405830179651579,0.7372072748839855
8,373.75840220519154,400.02121060267444,312.47852202501343,6.105466532515157e-05,32.13218076534181,0.9812583440994199,1026.1492516199748,1464.8442552089691,2.527639389038086,0.00015564660664798188,29.4950532913208,0.9749767258763313,0.07924788414190213,0.10851754574105144,0.04997822149501493,22.128655115763348,24.23190442721049,20.025405685106914,0.8454300661881765,0.936970037718614,0.75389006609718
9,363.02081165042534,385.1197591121728,311.4566034796114,5.9449812830556145e-05,32.184421907669,0.9813370968775726,806.5376902421316,1151.0782693227131,2.6097359160582223,0.00016614953847238212,29.006320158640545,0.9748072698712349,0.0795587096363306,0.10926037281751633,0.049857046998416386,22.16628885269165,24.312636375427246,20.019941329956055,0.8421118607123693,0.9376362363497416,0.7465874813497066
10,354.0765786193558,373.77979274948626,308.10241717297885,5.8609374229568227e-05,32.20150725649432,0.9814288937508777,688.9724918206533,983.1620852152506,2.5301372905572257,0.00017250182660670058,28.697598536809284,0.9751030877232552,0.07970002153888345,0.10949118233596285,0.0499088610522449,22.444698969523113,24.79935137430827,20.090046366055805,0.843949057161808,0.9398284355799357,0.7480696986118952
11,345.54874980619167,362.07350393720145,306.99099136641803,5.7759568960322026e-05,32.232176238326666,0.9814424884827782,903.9037007490793,1290.1842696666718,2.5823978583017984,0.00017068377246687305,28.535746971766155,0.974899393816789,0.07940257511412104,0.1094479061042269,0.04935724330910792,22.682913939158123,24.99632700284322,20.369500915209453,0.8508583754301071,0.9416255404551824,0.7600912004709244
12,340.16231938222006,354.32308670694795,307.1205321940201,5.650138554607559e-05,32.303375065609174,0.9815092617160336,869.27432235082,1240.706232825915,2.5998402337233224,0.00015749412402025578,29.209356784820557,0.9748015825947126,0.0794178086022536,0.10896254858622949,0.049873068812303245,22.192180077234905,24.294362783432007,20.08999760945638,0.8461812064051628,0.9389906277259191,0.7533717826008797
13,336.1778973764718,349.4964805711502,305.10120731733423,5.656771093858814e-05,32.2908702303448,0.9814750908110379,517.0391446749369,737.5529879728953,2.506919061144193,0.0001915673739555738,28.145455439885456,0.974439837038517,0.08025086298584938,0.11112973544125755,0.04937199146176378,22.64323345820109,25.06665349006653,20.21981342633565,0.8419932971398035,0.9410766214132309,0.7429099753499031
14,329.1416704982378,340.8655900458024,301.7858599802894,5.6307237112968584e-05,32.2973062302829,0.9814417420122861,843.4655559460322,1203.8584107557933,2.5488673051198325,0.0001603181260634301,29.270090341567993,0.9751830225189527,0.07959083545332153,0.1091950754635036,0.04998659478345265,22.204847653706867,24.408475160598755,20.00122062365214,0.8469637706875801,0.9387505228320757,0.7551770297189554
