epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec,val_mse_gt,val_mse_gt_h,val_mse_gt_e,val_psnr_gt,val_psnr_gt_h,val_psnr_gt_e,val_ssim_gt,val_ssim_gt_h,val_ssim_gt_e
1,2999.960005213299,2939.2301233662247,3060.6898739213625,0.0010354684233500361,23.32141055202032,0.9157597057486032,450.7623188495636,899.1145820617676,2.4100675210356712,0.00021877676059981846,27.22373914718628,0.9646456291278204,0.08357616964106758,0.12228956321875255,0.04486277513206005,19.974403381347656,21.19486093521118,18.753945469856262,0.7244671608010927,0.8824669669071833,0.5664673565576474
2,307.6121446148479,515.6432042415673,99.58108497908896,0.00010260719481830941,30.38170570671841,0.9762197597331911,389.39977212746936,772.6499756177267,6.149567951758702,0.00019727913453001142,27.93734383583069,0.9747599884867668,0.08285421784967184,0.11986231183012326,0.04584612355877956,21.041756868362427,22.45386330286662,19.629649718602497,0.7678744196891785,0.9155243883530298,0.6202244460582733
3,261.20196059529815,415.3689226268027,107.03499812085482,8.241447991357318e-05,31.15062629329085,0.9783465975268757,457.15600840250653,908.6212706565857,5.69072945912679,0.00016233221595030045,28.889796495437622,0.974267897506555,0.08246486742670338,0.11916780937463045,0.04576192668173462,21.167651732762653,22.8134982585907,19.52180528640747,0.7697668795784315,0.917409767707189,0.6221240075925986
4,246.73395408160314,385.7185917894987,107.74931628331188,7.798506845721146e-05,31.349205783193145,0.9788509802936942,319.9359333316485,635.9392669995626,3.9326099728544555,0.00013624992076681033,29.234862963358562,0.9750974078973135,0.0832562162540853,0.12077626337607701,0.04573617068429788,20.731136083602905,22.041237513224285,19.421034653981526,0.7656493882338206,0.9173904930551847,0.6139082734783491
5,235.34411684370718,364.2958801775747,106.3923530669009,7.621527041730105e-05,31.407510671570403,0.9791119600783027,574.729564666748,1145.0507648785908,4.408366567144792,0.00016977727909761597,28.84726055463155,0.9738078763087591,0.08275427855551243,0.12027131083110969,0.045237246551550925,20.981481234232586,22.410118738810223,19.552843650182087,0.7762884373466173,0.9248155852158865,0.627761285752058
6,230.739031082081,354.9722805475172,106.5057812731413,7.454687676287529e-05,31.469977600314607,0.9793413652204225,423.0132398207982,843.5498310724894,2.4766497015953064,0.0001359319004829255,29.457261085510254,0.9747053856650988,0.08216679251442353,0.11886857946713765,0.04546500703630348,21.307487567265827,22.703405618667603,19.911569197972614,0.7815660610795021,0.9206527223189672,0.6424793899059296
7,227.30957090911141,348.9755513701959,105.64358980621772,7.41675654025867e-05,31.501179952757052,0.9795230658133448,509.91654511292774,1015.7514247894287,4.081675400336583,0.00018392142616600418,28.162234624226887,0.9740260442097982,0.08266286086291075,0.11944531742483377,0.04588040399054686,21.196808973948162,22.66712228457133,19.726495901743572,0.7803017447392145,0.9263719916343689,0.6342315052946409
8,220.53629328289304,334.6198846175207,106.45270212001711,7.160286906013796e-05,31.598766699786434,0.9797247460385634,605.3122307856878,1207.3875673611958,3.23689629137516,0.00018882160732876704,28.574499050776165,0.9744692544142405,0.08265382222210367,0.1197350009654959,0.04557264468166977,20.882336854934692,22.051348050435383,19.71332573890686,0.7723143671949705,0.91731775055329,0.6273109888037046
9,219.0662896576651,332.36633355018654,105.76624555723362,7.170862489285045e-05,31.595436898452977,0.9797731242473656,464.81659539540607,925.8485856850942,3.7845983480413756,0.00016028295613068622,29.077794233957928,0.974129651983579,0.08276265859603882,0.11983990343287587,0.04568541372039666,21.067235708236694,22.26421618461609,19.87025507291158,0.7791860476136208,0.923986497024695,0.6343856019278368
10,217.36346882101483,328.68957206762235,106.03736535745774,7.106858372513257e-05,31.621706747895733,0.9798893263272199,309.5528922478358,615.9220814704895,3.18370558321476,0.0001402293970992711,29.09289280573527,0.9756151214241982,0.08240671347205837,0.11947209884723027,0.045341329804311194,21.143974860509235,22.403718550999958,19.884231328964233,0.7836082999904951,0.9248654445012411,0.6423511517544588
