epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec,val_mse_gt_h,val_mse_gt_e,val_mse_gt,val_psnr_gt_h,val_psnr_gt_e,val_psnr_gt,val_ssim_gt_h,val_ssim_gt_e,val_ssim_gt
1,1272.0941685506184,1446.452500349935,574.6607445129395,0.0013261920607357753,3.407471665064494,0.0004156449150003027,469.17586775620777,585.7068340778351,3.051979035139084,0.00012237228232455286,2.501029988129934,9.14964834919374e-05,0.000986634919778832,0.000797044137774113,0.0008918395263511533,32.31878765424093,30.305827776590984,31.312307516733807,0.6878692309061686,0.8485251168409983,0.7681971738735834
2,190.35296614786785,197.06891639404296,163.48915008138022,7.377095352955317e-05,3.4036361962000528,0.0001780621948419139,285.0155551830928,354.5924776395162,6.707853943109512,7.533297942548718e-05,2.5011853178342185,0.00010084981689336321,0.000653785214429566,0.0005868507499447636,0.0006203179837029893,32.31915330886841,30.343422651290894,31.331288019816082,0.6899679725368818,0.8497315098841985,0.7698497424523035
3,165.23749609375,159.0309496927897,190.06366953125,5.299577032031569e-05,3.403628182029724,0.00017831669086008334,241.75092339515686,300.54987565676373,6.555104384819667,7.044140238576801e-05,2.500910922884941,9.018137022091348e-05,0.0004685466750136887,0.0004349025257397443,0.0004517246052273549,32.03056343396505,30.510923147201538,31.270743370056152,0.6745910967389742,0.8652601490418116,0.7699256266156832
4,156.493335736084,148.76323014831544,187.4137444580078,4.754781352094142e-05,3.403635342470805,0.00017842243207269348,259.8947693904241,323.1898030440013,6.7146048446496325,5.3531971616394e-05,2.500543882449468,7.98890579668902e-05,0.00036320205223698093,0.0003848995647786069,0.00037405080396032037,31.88397725423177,30.743535041809082,31.313756306966145,0.6655978225171566,0.8395487243930498,0.752573274075985
5,153.23181018269858,144.6094904123942,187.721075390625,4.378459418270116e-05,3.4036338415145875,0.00017830552827605668,346.6613556543986,431.6740231513977,6.610645125309627,8.181436442100676e-05,2.501200666030248,0.000103513173750495,0.00036768396815508214,0.00041992200840468286,0.0003938029879767176,31.9109210173289,30.544843117396038,31.227882226308186,0.6683134262760481,0.7509726683298746,0.7096430410941442
6,150.26840263875326,140.95306874287922,187.52972389729817,4.1964507138133435e-05,3.403629630915324,0.0001781886312412098,288.57115173339844,359.3111103773117,5.611282229423523,6.956752743766022e-05,2.5019242813189826,0.00013273344090218112,0.00033696114769554697,0.000398332176397768,0.0003676466531032929,31.995149850845337,30.54749894142151,31.271324157714844,0.6754282079637051,0.7477140352129936,0.711571122209231
7,155.44828886311848,146.50069267781575,191.23865827636718,4.134099679310263e-05,3.4036242635091147,0.00017796113491640427,395.76211472352344,493.1786937713623,6.095729500055313,8.051672125475307e-05,2.501588468750318,0.00011950667885685107,0.00035712107061650994,0.00042594737139249145,0.0003915342219139954,31.903088331222534,30.572842359542847,31.23796542485555,0.6674436504642168,0.7200538292527199,0.6937487423419952
8,154.1116844909668,144.71089710286458,191.71481878255207,4.000771845724861e-05,3.403622277323405,0.0001775315328753398,367.84587597846985,458.32634949684143,5.923973858356476,6.640764672738442e-05,2.500732660293579,8.939132385421544e-05,0.00036497884745282744,0.00042020040715821477,0.00039258962806343334,31.875008980433147,31.264381885528564,31.569695472717285,0.6650816885133585,0.7703242500623068,0.7177029649416605
9,151.89184151407878,142.2130948404948,190.60681499023437,3.964271744116559e-05,3.403624509684245,0.00017772001187549904,439.1944907108943,547.6188987096151,5.496782670418422,8.59001487090912e-05,2.502042680978775,0.0001458423929155591,0.00034035123523305327,0.0004199812859345305,0.00038016625906796736,32.00184416770935,30.97812032699585,31.48998228708903,0.675798561424017,0.7484961375594139,0.7121473426620165
10,162.3913091023763,155.29819518941244,190.76374942220053,4.247874948850949e-05,3.403599062919617,0.00017604065870012467,354.3846382300059,441.20183126131695,7.115838199853897,7.661929710896705e-05,2.501012936234474,0.00010130814825970447,0.0003674251108047126,0.00043039602193554555,0.000398910565005887,31.901227951049805,31.162309328715008,31.531768480936687,0.6668961296478907,0.759402759373188,0.7131494407852491
