epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec
1,0.3366647134060526,0.0004106160638360384,0.37402628739673416,0.0007474003699679872,22.46410302754262,0.916126604249339,0.0002594224388900936,0.0002594224388900936,0.0013969942936288742,0.00047393634256271376,23.503859680811566,0.9417222113509973
1,7.396191006837528e-05,7.396191006837528e-05,8.88352488423284,9.968399326810122e-05,32.17875853533993,0.9749084370678635,3.0349919081421226e-05,3.0349919081421226e-05,13.680769700050353,3.262323950389145e-05,34.491569612820946,0.9782900086740652
2,2.722207873117113e-05,2.722207873117113e-05,15.866751226768674,2.8251434239671017e-05,35.40592922644593,0.982142876604157,2.523013655794178e-05,2.523013655794178e-05,17.47200115331014,2.578851167800167e-05,35.59553323014577,0.9803426937659582
3,2.4133469779367497e-05,2.4133469779367497e-05,18.821047798717192,2.449819920894736e-05,35.923562126702045,0.9830565036614359,2.4365406072433872e-05,2.4365406072433872e-05,19.874885796229044,2.5277913241742074e-05,35.82531256961823,0.9812405527830124
4,2.3366710104956058e-05,2.3366710104956058e-05,20.745435773478864,2.356113870338002e-05,36.07831487158464,0.9834141779284906,2.367533908625319e-05,2.367533908625319e-05,21.368275857289632,2.372307287763912e-05,35.927601619720456,0.9812423643469811
5,2.2048698246659175e-05,2.2048698246659175e-05,22.055022874714638,2.217465749122721e-05,36.28073172998654,0.9836415255804197,2.3773010176152334e-05,2.3773010176152334e-05,22.771193782488506,2.3114723284682743e-05,36.03784133942922,0.9818120626608531
6,2.114161617031796e-05,2.114161617031796e-05,23.540900605549744,2.1219446970380844e-05,36.415430697219634,0.9838298170769949,2.2482410931388587e-05,2.2482410931388587e-05,24.34624972565969,2.2485256195523108e-05,36.16271569697062,0.9814641820092996
7,2.0695147489566385e-05,2.0695147489566385e-05,24.84041556362857,2.0744352009624584e-05,36.486712252359254,0.983934023933953,2.27802124450515e-05,2.27802124450515e-05,25.23652937634786,2.2798691812643787e-05,36.25222508589427,0.9825686461726825
8,2.0216283444833134e-05,2.0216283444833134e-05,25.679134061551206,2.025473542390841e-05,36.570468034789464,0.984075223453237,2.240673523154631e-05,2.240673523154631e-05,26.126852635065713,2.280587564405323e-05,35.983255317052205,0.9817800237139066
9,1.9898189586706287e-05,1.9898189586706287e-05,26.583131686206112,1.9927352565569046e-05,36.626017095918336,0.9841511637254914,2.1615719959451478e-05,2.1615719959451478e-05,26.95977558517456,2.1446689225210017e-05,36.34809630044301,0.9824850005904834
