epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec,val_mse_gt,val_mse_gt_h,val_mse_gt_e,val_psnr_gt,val_psnr_gt_h,val_psnr_gt_e,val_ssim_gt,val_ssim_gt_h,val_ssim_gt_e
1,3522.192197682168,3639.69033386809,3471.835841224092,0.0011207063906121656,22.43694613104183,0.9140940864539542,257.4084338744481,853.0297892093658,2.142122852305571,0.0001920343156598392,28.491671164830525,0.9647158235311508,0.08419267584880193,0.12194637876624863,0.04643897188361734,20.30880093574524,21.174553871154785,19.443048079808552,0.7262887805700302,0.8827802911400795,0.5697972842802604
2,225.82875984878902,601.0571374396012,65.01658840089048,0.00013233593955446504,29.193701271762215,0.97441592544176,196.10242926081023,649.7702914476395,1.6733401001741488,0.00010358709550928324,30.68949604034424,0.9735972781976064,0.08277600646639864,0.12011644709855318,0.045435566416320704,21.056440750757854,22.28354533513387,19.829336007436115,0.7611122826735178,0.9112486963470777,0.6109758752087752
3,198.50406521982492,504.58697947280666,67.3256657993624,0.00010805438177550313,29.932892164347862,0.9764823139561296,190.19399539629617,628.301871975263,2.4334616226454577,0.00010800476350899164,30.144040028254192,0.9765548855066299,0.08312205054486792,0.1209814230290552,0.045262677944265306,20.79992365837097,21.794058005015057,19.805789629618328,0.769388290743033,0.9170362104972204,0.6217403598129749
4,186.75130237561265,463.08079785532294,68.32436877969317,0.00010209854149661839,30.151621732666595,0.9771149622461807,196.14739551146826,647.2755686442057,2.8067435827106237,0.000100193229324456,31.024426539738972,0.9759704619646072,0.08299006490657727,0.12046531199788053,0.04551481478847563,21.014742453893025,22.111982266108196,19.917502800623577,0.7722379416227341,0.916028176744779,0.6284477164347967
5,179.13472652887282,436.948782428181,68.64298181850198,9.890657845161517e-05,30.273763774130583,0.9774639138960726,209.00664619604746,690.3503848711649,2.7164638632287583,9.809574764100641e-05,31.280662933985393,0.9760398591558138,0.0826927296196421,0.12009088136255741,0.04529457694540421,21.095993995666504,22.341403643290203,19.850584427515667,0.7710287173589071,0.9181712518135706,0.6238861766954263
6,173.53949415740243,418.9271701613874,68.3733406473675,9.728354367730842e-05,30.332515411467348,0.9776112078490415,229.21122525135675,758.388011376063,2.421161454791824,9.83536040924567e-05,31.376773834228516,0.9768026471138,0.08253461432953675,0.11902516335248947,0.046044065112558506,21.51529272397359,22.63285239537557,20.397732893625896,0.7825189804037412,0.9210379173358282,0.6440000434716543
7,169.44294198203426,405.84548888726255,68.12755873078983,9.544557247708675e-05,30.402161521369248,0.9779280107026982,240.83842104673386,797.4753807385763,2.279707652516663,9.907055224781895e-05,30.791378657023113,0.9760955149928728,0.08297669359793265,0.12065245816484094,0.04530092926385502,21.0090758005778,22.000606616338093,20.017545223236084,0.7752391695976257,0.9198541392882665,0.6306242048740387
8,167.4561054446686,398.5721185874035,68.4063799528149,9.422352022264634e-05,30.439146346955503,0.9780432567777226,316.27885444959,1045.4962562322617,3.757095549876491,0.00013156159123658048,30.44881296157837,0.9755142976840337,0.08269180574764808,0.1204085558031996,0.044975054915994406,20.99489180246989,22.100793441136677,19.888990720113117,0.7798445920149485,0.9204863955577215,0.63920280088981
9,164.40821772390066,388.273949392599,68.46575550332453,9.345191688333656e-05,30.47800078098243,0.9782162077760245,315.5528231859207,1044.3095228274663,3.2284947050114474,0.00012743789299444566,30.851496934890747,0.974334234992663,0.08276207062105338,0.12021354647974174,0.04531059612054378,21.22713843981425,22.22493624687195,20.22934079170227,0.785181075334549,0.9230428164203962,0.6473193143804868
10,159.6181155561836,372.6504169120608,68.31855246919027,9.128781402116267e-05,30.542616306323012,0.9783928316633849,340.9024726649125,1128.7844134569168,3.2387652564793825,0.00013971679679040486,30.56852396329244,0.9753519793351492,0.08294928539544344,0.12048017559573054,0.04541839562201252,21.057729085286457,22.128529628117878,19.9869286219279,0.7785217935840288,0.9210577482978503,0.635985846320788
11,157.98164783495864,367.2008294200445,68.31627909945085,9.038736963220066e-05,30.580565784779772,0.9784647852747361,369.0229171216488,1222.392933011055,3.2929009372989335,0.0001456163615027132,30.66214720408122,0.9758451953530312,0.08295510150492191,0.12040459752703707,0.045505606879790626,21.071675300598145,22.103097518285114,20.040252923965454,0.7822095255057017,0.9226708908875784,0.6417481688161691
