epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec,val_mse_gt_h,val_mse_gt_e,val_mse_gt,val_psnr_gt_h,val_psnr_gt_e,val_psnr_gt,val_ssim_gt_h,val_ssim_gt_e,val_ssim_gt
1,897.9554835306803,957.6833377176921,360.4050181584676,0.0007856357992680084,3.4053330929438275,0.000260978427346951,669.2197049458822,742.2729628880819,11.740705271561941,0.0001221661968884291,2.505166932940483,0.0002751504747114571,0.0010300494844462567,0.0009805818178089492,0.0010053156499149434,32.27389510472616,30.296422163645428,31.28515871365865,0.6983762867748737,0.8466994414726893,0.7725378647446632
2,178.28990270792644,170.26486626180014,250.5152658935547,4.833382049231053e-05,3.4035846385955812,0.00017437758787806768,453.8387478987376,502.90592765808105,12.234286348025003,8.446958554486628e-05,2.50203904012839,0.00012129103000309745,0.0006860908815724542,0.0006936006035781853,0.0006898457443943092,31.991752465565998,30.28695861498515,31.139355659484863,0.6739551884432634,0.8241508478919665,0.7490530212720236
3,159.6749046875,148.10913556111655,263.76686026204425,3.998162795663423e-05,3.403565636698405,0.00017425895978036957,338.67882863680524,374.9654405117035,12.099466641743978,7.14077708228918e-05,2.501962607105573,0.0001285721991735045,0.0005018923917911403,0.0004824388488486875,0.0004921656121344616,31.999175786972046,30.379615147908527,31.189395348231,0.6787757029136022,0.8423932542403539,0.7605844686428705
4,152.07762519327798,140.37240902709962,257.42460204264324,3.6942713670335556e-05,3.403582096481323,0.00017560140600350374,344.4762094815572,381.6505687236786,9.90699166059494,6.415406346604868e-05,2.501969819267591,0.00013125474894574532,0.0004028738703709678,0.0004279487811800209,0.00041541132941347314,31.91970880826314,30.11448605855306,31.01709755261739,0.67263891796271,0.7183068792025248,0.695472906033198
5,146.42011713053387,134.38532473653157,254.73327526041666,3.4048379465578666e-05,3.4035859877904255,0.00017575077255411694,394.74131246407825,437.671261827151,8.37189511458079,7.591824927051978e-05,2.5047154873609543,0.00028559888717912446,0.0003757142885660869,0.0004669152564626226,0.00042131476827004616,31.980101982752483,29.665642102559406,30.822872161865234,0.6842345682283243,0.6652547915776571,0.6747446854909261
6,143.61541520385742,131.10866529541016,256.1761924886068,3.250980371109714e-05,3.4035931195576987,0.00017640471387615737,448.6272160609563,497.33404008547467,10.265853822231293,8.107106608197985e-05,2.503820702433586,0.0002459211700625019,0.00039961102720553754,0.00048272196575756726,0.0004411665013321908,31.958542903264362,30.320176204045612,31.13935963312785,0.6816011319557825,0.6826210208237171,0.6821110745271047
7,144.4479916402181,131.66182766927082,259.523495304362,3.1262052160551926e-05,3.4035812054951986,0.0001758450283591325,482.5377784172694,535.2264258861542,8.340100626150766,7.64319809150038e-05,2.5024608125289283,0.00015921702894653814,0.0005179135587241035,0.0005959666226165913,0.0005569400891545229,31.888353268305462,30.907584190368652,31.397968689600628,0.6712694317102432,0.6998110537727674,0.685540239016215
8,143.48755970662435,130.2201345896403,262.8944140625,3.0449184370809235e-05,3.403583740234375,0.0001759372078833015,557.8701561689377,618.9311316013336,8.32157560189565,8.07312089818879e-05,2.5026844640572867,0.0001748576166088848,0.000506112241964729,0.0006006576046881188,0.0005533849222653467,31.89775498708089,30.524736086527508,31.2112455368042,0.671854188044866,0.6872038220365843,0.6795289988319079
9,142.5755612121582,129.22867292073568,262.69758182779947,3.0131775334302803e-05,3.4035729431152344,0.00017522853726210694,471.66749250888824,523.1618415514628,8.2182976603508,7.284186691928578e-05,2.5017496248086295,0.00012589401042835865,0.000495844963855537,0.0005907249105803203,0.0005432849411590723,31.87289563814799,30.73691987991333,31.30490771929423,0.667753778398037,0.6974275310834249,0.6825906572242578
10,154.218085744222,141.64810682983398,267.34792840983073,3.209823672659695e-05,3.403559508450826,0.00017423179596080443,458.517634789149,508.4965301354726,8.707650581995646,7.084277717694931e-05,2.5015078683694205,0.00011553913873285637,0.0006056580405129353,0.0006990615608325849,0.0006523598082518826,31.862131039301556,31.600847562154133,31.731489102045696,0.6656834507981936,0.7139353354771932,0.6898093894124031
