epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec,val_mse_gt_h,val_mse_gt_e,val_mse_gt,val_psnr_gt_h,val_psnr_gt_e,val_psnr_gt,val_ssim_gt_h,val_ssim_gt_e,val_ssim_gt
1,776.5899344767253,966.8036667378743,332.7579155670166,0.0007274720985835302,3.4082921585083006,0.0003961937621119432,572.9835315942764,816.1557629505793,5.581708490848541,0.00012957614596113368,2.502321203549703,0.00015262202365799263,0.001874865391679729,0.0016091259579601076,0.0017419956808832164,33.878941694895424,30.286837577819824,32.08288931846619,0.7813304563363394,0.847730852663517,0.8145306557416916
2,182.56264043579102,195.9716828013102,151.27487642008464,7.86549688030694e-05,3.4036399002075197,0.0001768908400301977,327.0247065623601,465.79165474573773,3.235187883178393,0.0001194595027603403,2.5038032631079354,0.00021972807462589117,0.0011751203674066346,0.0009153017866386411,0.0010452110715656697,33.53867173194885,30.295888741811115,31.917280197143555,0.758231862137715,0.847801111638546,0.8030164912343025
3,168.97980489908855,179.4664628245036,144.51093779703777,7.211775504353379e-05,3.4036734442392986,0.000179376592481276,379.0701941649119,540.2310999234518,3.0281118750572205,0.00014072988430295177,2.503836209575335,0.0002094424923294961,0.000693641503554924,0.0005615201638041375,0.0006275808379238393,32.65226546923319,30.33866294225057,31.49546416600545,0.7116919805606207,0.8484126155575117,0.7800523017843565
4,159.74479159952799,167.23661935831706,142.26386171875,6.52387214936122e-05,3.403686026573181,0.00018002679869338559,371.7584321498871,529.8798042138418,2.8086101661125817,0.00012168226627788196,2.503244638442993,0.00019941797078596815,0.0004587783660099376,0.000450921516555051,0.0004548499424951539,32.03108191490173,30.505350828170776,31.268216133117676,0.6792736351490021,0.8675046563148499,0.773389145731926
5,154.62876756591797,159.90958949788413,142.30684962972006,6.057276550660997e-05,3.4036949057261148,0.00018068984895556545,438.5236819585164,625.4035868644714,2.470577081044515,0.00014195371128759385,2.510036438703537,0.0007665006669412833,0.00042329394940073445,0.0004406602729432052,0.0004319771081403208,32.13028120994568,30.44883330663045,31.289557377497356,0.694661861906449,0.8319470981756846,0.7633044794201851
6,155.6393101216634,160.28115133870443,144.80834739583332,5.8496481000717416e-05,3.403683900642395,0.0001806827370620643,791.9641254345576,1130.2627391815186,2.6006995489199958,0.0001519133367461715,2.504724601904551,0.00026688304327156703,0.0003628955513098238,0.0004341138031425847,0.000398504672072401,32.12133995691935,30.561663389205933,31.341501633326214,0.6904500449697176,0.8072016661365827,0.7488258555531502
7,153.60799302978515,156.48883530069986,146.88602767333984,5.5418191506760195e-05,3.4036673168182374,0.000179232757249459,592.2905459801356,844.9683029651642,2.709142322341601,0.00012299037325647078,2.502837896347046,0.0001751249392327736,0.00036040075277317857,0.0004375810543327437,0.0003989909037045436,32.00836284955343,30.66626699765523,31.33731444676717,0.6795900911092758,0.8260853712757429,0.7528377349177996
8,153.50061486816406,155.8682656504313,147.97609567871095,5.451197672567408e-05,3.403664229138692,0.0001792934425039372,541.5428465604782,772.4874233404795,2.6722161322832108,0.00012239780213955478,2.5039090563853583,0.0002181879884422718,0.0003520452394999059,0.00042167334837965126,0.0003868592966682627,32.10703285535177,30.5743891398112,31.34071095784505,0.6867261988421282,0.7992038627465566,0.7429650301734606
9,161.47072553304037,167.3745744252523,147.69507808024088,5.666598641400924e-05,3.4036401561101277,0.00017832483857831296,576.6173800230026,822.4303759336472,3.053756922483444,0.00013033080055417182,2.5028094351291656,0.000161767488255767,0.00034671970388444606,0.00045333853055732715,0.0004000291167661392,32.01177215576172,30.653821229934692,31.332796812057495,0.6792265027761459,0.7794928774237633,0.7293596913417181
10,157.86922395833332,160.62791095987956,151.4322880411784,5.2564256251692615e-05,3.4036567883173623,0.00017899235134827905,567.7422239383062,809.7325287659963,3.098192344109217,0.00012916193600176484,2.5021727482477822,0.00013550266188152213,0.00033868360727259034,0.0004388309850279863,0.00038875729660503566,32.02902102470398,30.951146920522053,31.490084171295166,0.6782919578254223,0.8120155210296313,0.7451537450154623
11,157.11382444458008,159.8227355489095,150.7930321492513,5.28479605272878e-05,3.403648025894165,0.00017827663790473405,579.164060751597,826.0168118476868,3.1743349134922028,0.00012223137340091247,2.502058203021685,0.0001301537507364022,0.0003443332258636171,0.0004284617401329645,0.00038639748648468714,32.02122791608175,30.78404712677002,31.40263795852661,0.6774898072083791,0.7973364566763242,0.7374131282170614
12,172.7226604288737,183.64687271728516,147.2328317586263,5.84374206494734e-05,3.403636971537272,0.00017757310785042742,629.1685955921808,896.983449379603,4.267325659592946,0.00012293052221442244,2.5015256305535636,0.00011098455327858876,0.00034686244877472444,0.0004504253038248862,0.0003986438805441139,31.945185740788776,31.15268603960673,31.548936128616333,0.6714347712695599,0.790417010585467,0.7309258927901586
13,170.9843686686198,179.42681487019857,151.2853283610026,5.476677831223545e-05,3.4036399221420286,0.00017730504539989245,654.2633055448532,932.8659900824229,4.190377275149028,0.00013253314781043932,2.501697843273481,0.00011837057991215261,0.00035011588776493835,0.00046129696935774217,0.0004057064282581753,31.947682460149128,31.185662825902302,31.566672881444294,0.6720661322275797,0.7845800643165907,0.7283230895797411
14,167.31025971272786,174.36212705485025,150.85590362141926,5.449696252277742e-05,3.403651030985514,0.00017788351640920155,632.4183140595754,901.6263182163239,4.266353021065394,0.0001250261977171855,2.501511504252752,0.00011317178405079176,0.00035234427377872635,0.00044370561196653097,0.0003980249399925621,31.95895004272461,31.20345099767049,31.581200917561848,0.6728344671428204,0.7963877295454344,0.7346110964814822
