epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec,val_mse_gt,val_mse_gt_h,val_mse_gt_e,val_psnr_gt,val_psnr_gt_h,val_psnr_gt_e,val_ssim_gt,val_ssim_gt_h,val_ssim_gt_e
1,157.81383606494884,489575.96386255923,157.81383606494884,0.041348700440307785,7.986919608161347,0.3237177300580305,1.6406012885272503,258142.22623697916,1.6406012885272503,0.03292816458269954,-1.0841332996884983,0.2512794341892004,0.13287970998014012,0.18093954864889383,0.08481987084572513,-inf,-inf,-inf,0.4193661188085874,0.29768491474290687,0.5410473272204399
2,10.901381511258853,473439.75588714454,10.901381511258853,0.04149283742823448,7.981941178511669,0.32418423216631065,1.2886165399104357,258722.81176757812,1.2886165399104357,0.03297316702082753,-1.1002730242908,0.2512743417173624,0.13295072938005129,0.18101513323684534,0.08488632606652875,-inf,-inf,-inf,0.4193661188085874,0.29768491474290687,0.5410473272204399
3,6.976701662438741,472987.94560870854,6.976701662438741,0.04150381001039139,7.981858172687874,0.32419755694707986,1.0006934283301234,256865.734375,1.0006934283301234,0.03297792701050639,-1.1120654679834843,0.2537167929112911,0.13295368493224183,0.18103338032960892,0.08487399108707905,-inf,-inf,-inf,0.4193661188085874,0.29768491474290687,0.5410473272204399
4,4.84624658913409,472939.4023992891,4.84624658913409,0.041509088239151434,7.981533934154782,0.3241764545370052,0.865778892301023,254426.74015299478,0.865778892301023,0.032984465438251696,-1.1184396209816139,0.2549093433966239,0.1329524600878358,0.18104279848436514,0.08486211765557528,-inf,-inf,-inf,0.4193661188085874,0.29768491474290687,0.5410473272204399
5,3.816024726036036,472936.57320053317,3.816024726036036,0.04151000057333877,7.982132266483036,0.32419951976899286,0.7702459584300717,247903.2696940104,0.7702459584300717,0.03300787236851951,-1.1209622907141845,0.2540468169997136,0.1329698939807713,0.18105890726049742,0.08488088116670649,-inf,-inf,-inf,0.4193661188085874,0.29768491474290687,0.5410473272204399
6,3.285645715150788,473062.09567535546,3.285645715150788,0.04151142352388651,7.982080195187392,0.32419880804433643,0.7511702001405259,264345.89689127606,0.7511702001405259,0.033023655569801726,-1.1238021701574326,0.2538322117179632,0.13297897841160497,0.1810691695039471,0.08488878995801012,-inf,-inf,-inf,0.4193661188085874,0.29768491474290687,0.5410473272204399
7,2.9437280559991774,472861.56775770144,2.9437280559991774,0.04151180258982978,7.980994499690159,0.32419672587189063,0.6780097242444754,253433.20638020834,0.6780097242444754,0.03302269568666816,-1.1212635946770508,0.2530392458041509,0.13298279823114476,0.18107163968185583,0.08489395817741752,-inf,-inf,-inf,0.4193661188085874,0.29768491474290687,0.5410473272204399
8,2.7072379942188896,472888.8397141588,2.7072379942188896,0.041514160954592066,7.981871010567905,0.3241959638646429,0.6087967184527466,252278.50065104166,0.6087967184527466,0.03303638861204187,-1.122276097536087,0.25273225208123523,0.13298730924725533,0.18107449387510618,0.08490012174782653,-inf,-inf,-inf,0.4193661188085874,0.29768491474290687,0.5410473272204399
9,2.513711336099706,472945.76840195496,2.513711336099706,0.041513830096730125,7.981296750606519,0.3241764311259392,0.5166019693715498,247700.80851236978,0.5166019693715498,0.033025385501484074,-1.1201177289088566,0.25258719362318516,0.13298377254977822,0.18107050222655138,0.08489704364910722,-inf,-inf,-inf,0.4193661188085874,0.29768491474290687,0.5410473272204399
10,2.3582380014290742,473013.89640106633,2.3582380014290742,0.04151640585689889,7.981429818682196,0.3241833612958402,0.4764484600940098,248263.37215169272,0.4764484600940098,0.03303891226338843,-1.1221908430258434,0.2525382377207279,0.13298938532049456,0.18107484063754478,0.08490392767513792,-inf,-inf,-inf,0.4193661188085874,0.29768491474290687,0.5410473272204399
11,2.192578142288172,472986.2940239929,2.192578142288172,0.04151517370830497,7.98198769047362,0.3241912776613122,0.4315771800465882,245730.64672851562,0.4315771800465882,0.033037442015483975,-1.1227567220727603,0.2525883571555217,0.1329896836541593,0.18107801427443823,0.08490135272343953,-inf,-inf,-inf,0.4193661188085874,0.29768491474290687,0.5410473272204399
