epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec
1,129245.51200917321,125261.30274710272,3984.2094009182465,0.0007810315717278004,26.28895841842579,0.9410484175758339,28841.042262300532,25775.73832280585,3065.3038667719416,9.930434115379652e-05,30.86149787902832,0.9754219759017864
2,21720.99455253999,18927.662219296133,2793.3322946268236,5.114976635461872e-05,33.50393729187301,0.9785962770759212,16284.43336519282,13808.897824551197,2475.5355419402426,3.933364082223171e-05,34.43634236112554,0.9792040529403281
3,16702.279093231635,14411.499331216677,2290.7797492872483,3.4805409366578595e-05,34.85479951921798,0.9805682353781298,15892.97975191157,13826.933261303191,2066.0465282683676,2.9981014991558077e-05,34.81514358520508,0.9802337916607552
4,14721.544234578643,12802.216633728895,1919.3276089492003,2.922229227957247e-05,35.39684660852803,0.9815307236960714,14687.860060671543,13028.06945021609,1659.7905727954621,2.9258441498584826e-05,35.20253761778486,0.9825179056918367
5,13903.723216269254,12314.056859888737,1589.6663657816666,2.7750104443029163e-05,35.62797150001707,0.9820825679324815,13934.267224900266,12334.739475980718,1599.527730738863,2.425054012843596e-05,35.73308404963067,0.9816588404330802
6,13250.370702662174,11690.337713015588,1560.032979233005,2.6155993301769754e-05,35.83389782566595,0.9824194266191592,12646.018565076463,11149.141082114362,1496.8774894552027,2.294007491071441e-05,36.31953998322182,0.9830981004745403
7,12774.200149029917,11286.868909790617,1487.3312265115892,2.5065277676088806e-05,35.9272082586424,0.9826661055263185,15167.161776928191,13675.45286527593,1491.708853214345,3.391418059881618e-05,34.90351425333226,0.9805352167880281
8,12454.949195030176,10986.487580647401,1468.4616193002998,2.4468954663280737e-05,35.98492385538833,0.9828153329579186,12341.870927526596,10956.381139876994,1385.489779857879,2.183406332791337e-05,36.30922147060962,0.983479951924466
9,12147.093397095305,10774.798708947348,1372.2946937886459,2.404096370685292e-05,36.1180856578158,0.983040073047882,12230.577117270612,10889.694029463099,1340.883090404754,2.2861965609332944e-05,36.161068368465344,0.9834220485484346
10,11831.941808908472,10459.40006433279,1372.5417652582105,2.3138293433057957e-05,36.24058510115926,0.9832539177760129,12129.376932347075,10701.100222323803,1428.2766853494848,2.626787695493128e-05,35.88794996383342,0.9833805180610494
11,11472.556684014922,10105.32859534675,1367.2280887404888,2.2566509668136878e-05,36.26602932175189,0.9833135615451641,12232.244763962766,10989.145533784907,1243.0992314764794,2.155450971607005e-05,36.306779171558134,0.9836253739417867
12,11551.301667561464,10325.61685079421,1225.6848060644068,2.310864912998669e-05,36.246739798812506,0.9834258854389191,13797.612782579787,12526.24037982048,1271.37233263381,2.3840205977513565e-05,35.59670748609177,0.9836819171905518
13,11271.952380428947,9979.252980598341,1292.6994160295098,2.214306113450505e-05,36.35797687729388,0.983534403745597,11785.345391456118,10473.492992644615,1311.8524066032248,2.5487393999201037e-05,35.8811043678446,0.9831395789663843
14,11760.879228492484,10471.015841949607,1289.8633839394809,2.324575725587156e-05,36.22975595528481,0.9822700316730834,12144.94929147274,10910.869415932513,1234.0799495615859,2.7374392146234738e-05,35.53046336072556,0.9829854673527657
15,11425.486481436055,10187.64397470194,1237.8424997194118,2.2775731166634767e-05,36.27972004876882,0.9835154176888308,13078.038771609043,11811.188393450799,1266.8503671199717,2.5969731413692414e-05,35.78450807611993,0.9839887175154178
16,11227.785518411212,9976.795973068165,1250.989556624426,2.223838108448768e-05,36.36773492261697,0.9836188782871617,12406.56919049202,11158.360029504654,1248.2092142308013,2.064727823380963e-05,36.57163173594373,0.984259010629451
17,11122.477904116373,9891.993724660286,1230.484179456087,2.2081043836280333e-05,36.34612948973597,0.9836332995038461,11772.26922997008,10566.5673828125,1205.7018205358627,2.3526224082316015e-05,36.44216095133031,0.9838803911462743
18,11096.90359106561,9865.675243214973,1231.2283525512116,2.191047542294685e-05,36.40599699155979,0.9837116464195659,11468.27185837766,10228.183037940493,1240.0887879716588,2.1309979371274473e-05,36.46132083649331,0.984325794463462
19,10874.89015465325,9647.492708179057,1227.3974328063675,2.1468049905202405e-05,36.44401630293137,0.9837383555151274,11970.107640043218,10747.354455826131,1222.7532439536237,2.5824278809329586e-05,36.207146705465114,0.9839526440234895
20,10896.43100018976,9634.118309852636,1262.3126828162026,2.1449656278965746e-05,36.4359851945633,0.983737777477192,11234.181432845744,9944.9519250748,1289.229496083361,2.3091257602611723e-05,36.16443041537671,0.9832996656285956
21,10805.783361642847,9567.763961719676,1238.0193996339049,2.131574796880659e-05,36.43931363092214,0.9837716867997183,11891.20102642952,10662.940756939826,1228.260235725565,2.6574676164098955e-05,35.96659445255361,0.9835265171020589
22,11170.04443127962,9939.258226729118,1230.7861777933854,2.212517798803217e-05,36.33744194383305,0.9837162901439938,11349.736120345744,10170.352554645944,1179.3835176508478,2.303549005793026e-05,36.50191079809311,0.9843932770668192
23,10682.132633154992,9485.443024404805,1196.6895986981867,2.1162017151578265e-05,36.47389750910031,0.9838483991074901,11780.17236328125,10582.945338472407,1197.2270293540143,2.6513414439327886e-05,35.92882010277281,0.9837165278323153
24,10777.598307677355,9564.028670903066,1213.5696289641032,2.1270595449156055e-05,36.47265521948936,0.9838217699555989,11505.15534616024,10297.816863364362,1207.3385198065575,2.01643395562411e-05,36.69019289219633,0.9845939944399164
25,10836.674063009108,9632.831732148808,1203.8423078636422,2.1495870047466005e-05,36.40403616936851,0.9837620964547469,11600.387331698803,10426.64802713597,1173.7393344311004,2.007732355389422e-05,36.695934336236185,0.9847570302638602
26,10642.198124745446,9468.508860800504,1173.6892590997343,2.118423861471861e-05,36.442930655456834,0.9838935126908017,11379.762560255984,10209.697369514628,1170.0651985330785,2.1352329546990657e-05,36.32926636553825,0.9831190914549726
27,10216.664374907436,9039.690231829458,1176.974149441832,2.0159020578653952e-05,36.58347189934898,0.9839584410049339,11105.948304521276,9929.399164727394,1176.5491449883643,2.2196185725872367e-05,36.09116586725762,0.9833244541858105
28,10141.275369797837,8963.298232236744,1177.9771379949923,2.0028808440953994e-05,36.59825629193636,0.983968492226578,10895.958257147606,9733.960340134641,1161.99789623504,2.1846501209786745e-05,36.31156418171335,0.9835970896355649
29,10126.625317035694,8972.352286243891,1154.2730313703348,2.0013909436038463e-05,36.59932650435027,0.9839894386688115,10777.004758144947,9640.072130568484,1136.9326145902594,2.0572597282381972e-05,36.51010996230105,0.9842200983077922
