epoch,train_loss,train_loss_mse,train_loss_kl,train_mse_rec,train_psnr_rec,train_ssim_rec,val_loss,val_loss_mse,val_loss_kl,val_mse_rec,val_psnr_rec,val_ssim_rec
1,14.378565271448206,0.006793405008278098,14.371771860758464,0.001289458033732242,30.92583610110813,0.8419665832042142,14.27304965209961,0.00025863984897235543,14.272791011969248,0.0003444727651155214,24.741495070457457,0.8535722627441088
2,14.272932289123535,0.0002263002755331669,14.272705983479817,0.0003013477856896956,34.803631294533055,0.9425562793237192,14.27283915456136,0.00019116784939797072,14.272647988637289,0.0002545091430644485,26.58314471721649,0.9297534905771414
3,14.272811168246799,0.00018151453078651145,14.272629657038935,0.00024162889932523722,35.812124739470306,0.9587039196402938,14.272789532502491,0.00016878840009955335,14.272620751539867,0.0002246629587392211,27.53334828599294,0.952786073187987
4,14.272792133190014,0.00017993647592676873,14.272612200419108,0.00023952166410917588,36.13925050693088,0.9624883879334838,14.27277387491862,0.0001649509924541235,14.27260892677307,0.0002195495698307847,27.609737504641213,0.9586210733850797
5,14.272762218051486,0.0001605502794042911,14.272601671572085,0.00021367321487007385,36.413070123743125,0.9661572467839277,14.272757767836254,0.0001568041891619032,14.272600958824158,0.00020868561755438956,28.06223141447703,0.9656717757582665
6,14.272754703663013,0.00015754958681322428,14.272597154405382,0.000209671600366063,36.510730004204646,0.9668850478419552,14.272749090512594,0.00015560741787953703,14.272593480110169,0.00020708566253521593,28.15727833588918,0.9665453507502874
7,14.272748553805881,0.00015589032829814607,14.272592663235134,0.00020745899333269335,36.568241874977396,0.9671433129134002,14.272745527426402,0.0001551808522706324,14.272590346018474,0.00020651933829549308,28.184751021067303,0.9672245778739452
8,14.272745906405978,0.00015513933620241006,14.272590758147063,0.00020645756299685067,36.55922766226309,0.9672673910812095,14.272744481563569,0.00015398568061474787,14.272590499560039,0.00020492442140084677,28.22701627890269,0.9676243833700816
9,14.272745563083225,0.00015496343958269185,14.27259059906006,0.00020622298739208082,36.56703105050546,0.9673190965652466,14.27274403889974,0.0001542689230787649,14.272589773654937,0.00020530164931475763,28.214803278287253,0.967628808071216
10,14.2727453028361,0.0001547311278684194,14.2725905674122,0.000205913196003099,36.5601545393202,0.9673410944762053,14.272744883537293,0.0001535546766585109,14.272591327031453,0.00020434984302520812,28.235789498647055,0.9677151378492514
11,14.272745214391637,0.00015462020631929152,14.272590598494919,0.0002057652806807137,36.55573483841508,0.9673373961095457,14.272744023005167,0.00015387362479214061,14.27259015194575,0.0002047748843848846,28.24819271183014,0.967768203228712
