mnet_name,patch_size,pretraining_epochs,n_samples,theta_val,sigmaRui_sq,camelyon_train_loss,camelyon_train_loss_mse,camelyon_train_loss_kl,camelyon_train_mse_rec,camelyon_train_psnr_rec,camelyon_train_ssim_rec,camelyon_test_loss,camelyon_test_loss_mse,camelyon_test_loss_kl,camelyon_test_mse_rec,camelyon_test_psnr_rec,camelyon_test_ssim_rec
mobilenetv3s,224,1,60000,0.9,0.05,2.808498921872427,27.080229156338508,0.1116399592982812,0.0004401258424117663,24.955746545791627,0.9593526811798414,7.74745225712657,76.51121914039055,0.10703357462196922,0.0011882551964366333,19.947307694117228,0.9591234974861145
mobilenetv3s,224,1,60000,0.8,0.05,5.986885800912148,27.84884406204025,0.5213961085126632,0.00036721377611057606,25.915181072447034,0.9639942046304544,15.445195853595932,74.49259882007043,0.6833447955455632,0.0010164194941562528,20.510387651761373,0.9633334186573823
mobilenetv3s,224,1,60000,0.7,0.05,7.835381077855826,24.630322009053494,0.6375488459650013,0.0003340427400889894,26.252382737053765,0.9673397127555476,22.172624505102636,72.0073668373227,0.8148765764161945,0.0009543392613953377,20.854414613008498,0.9668972527136406
mobilenetv3s,224,1,60000,0.6,0.05,10.745651981002755,24.77639516888559,1.3918228584660424,0.0002677231046301232,27.477702978875904,0.9705411488480038,28.500338156799476,68.43625264137984,1.8763942996909222,0.0007927688594642556,21.806586896419525,0.9707343674153089
mobilenetv3s,224,1,60000,0.5,0.05,11.509823085824648,21.039450711541704,1.9801954607152277,0.00021437131841392127,28.17783347278171,0.9733763005369239,37.795681831677754,73.04161557473739,2.5497480743626753,0.0007357422143923031,21.92187452061971,0.9733576295276483
mobilenetv3s,224,1,60000,0.4,0.05,14.684490666667621,22.420808391282957,3.0800127165317535,0.00018293930307168517,29.55474245431688,0.9758508755895826,46.68649353301525,75.45803048837185,3.5291835345228515,0.0006749183079050454,22.385892065684,0.9750289650162061
mobilenetv3s,224,1,60000,0.3,0.05,15.259850784367986,20.30915536050664,3.4781407031615577,0.00017384351917619116,29.488481404304505,0.9768406896558073,50.91939621182283,71.1430933103462,3.7307720275521277,0.0006381634882554862,22.59421691910426,0.9765202244023482
mobilenetv3s,224,1,60000,0.2,0.05,18.644320080816748,22.137274288207294,4.672501676665412,0.000179252306228793,29.531891271167332,0.9756242913272646,51.79151144949595,63.40038399906953,5.356016971270243,0.0005525586262798849,23.161599458614987,0.9772233799646298
mobilenetv3s,224,1,60000,0.1,0.05,18.367471925477187,19.681567114520405,6.540619923883014,0.00014426403109001109,30.62792310142517,0.9785301921632554,55.97026646896203,61.42488320134083,6.878730572024981,0.0004905603725913655,23.811893486658732,0.9801132917155823
mobilenetv3s,224,1,60000,0.0,0.05,16.472763925635153,16.472763925635153,18.742149647606745,0.00010996666385047623,32.083132632891335,0.9789301794005765,59.55878057921926,59.55878057921926,18.669828108231226,0.00040495332189349634,25.195686703523,0.9812756417195002
mobilenetv3s,224,1,60000,1.0,0.05,0.007366028920223926,32.723396048280925,0.007366028920223926,0.0005747986263284272,23.669195267359417,0.9489421726432111,0.046350868504289794,83.95166546746096,0.046350868504289794,0.0014159311788049915,19.180484423796337,0.9496617797613144
