patch_size,pretraining_epochs,n_samples,theta_val,sigmaRui_sq,camelyon_test_loss,camelyon_test_loss_mse,camelyon_test_loss_kl,camelyon_test_mse_rec,camelyon_test_psnr_rec,camelyon_test_ssim_rec
224,0,60000,0.0,0.05,0.0007363715561496065,0.0007363715561496065,0.0,0.0007357189186895993,22.552444027900695,0.8457053351600965
224,0,60000,0.5,0.05,28.545631344000498,0.0004233752812288003,28.54520796855291,0.0008461165036690848,20.999089886903764,0.9669368839164575
224,0,60000,0.75,0.05,21.410034433523816,0.0005465595468479781,21.40948787196477,0.0020567780652515164,17.634794394334158,0.8831503659238418
224,0,60000,0.9,0.05,0.006683561820493196,0.002362334314208662,0.004321227505410964,0.023111579108129564,5.824536041364074,0.25959112197595335
224,0,60000,0.99,0.05,0.0019506848844745642,0.0002328402739046093,0.001717844611134524,0.023116079219840078,5.822108282625675,0.2596288361561795
224,0,60000,0.999,0.05,28.51750443649292,1.994480780695085e-06,28.517502395947773,0.0019423679354319272,17.85258907945951,0.918198459063967
224,0,60000,1.0,0.05,0.00048625100969803723,0.0,0.00048625100969803723,0.010726458259732074,11.752317552685737,0.19733912351106603
224,1,60000,0.0,0.05,0.0008443631340742286,0.0008443631340742286,0.0,0.0008437422000085159,20.92469133957227,0.9673461671123902
224,1,60000,0.5,0.05,28.545778323491415,0.000577830443049,28.54520048967997,0.001155016091906873,19.875484076738356,0.8395064132312934
224,1,60000,0.75,0.05,21.41253473265966,0.0007377743715684726,21.41179696385066,0.0023026349822927537,17.213773708343506,0.7772150951276223
224,1,60000,0.9,0.05,51.38168647034963,0.00016862330710834308,51.38151785755157,0.001685551181086339,18.344198289076488,0.7068665715108315
224,1,60000,0.99,0.05,0.0012924455801294242,0.0003243264021414992,0.0009681191777168579,0.023336258175229888,5.818836453035474,0.2595670549956461
224,1,60000,0.999,0.05,57.0333474149704,1.1002726981459433e-06,57.0333470582962,0.00109964645930692,20.09417739446958,0.8308983103285233
224,1,60000,1.0,0.05,28.556520405769348,0.0,28.556520405769348,0.0021390214612523172,17.520325177669527,0.8171014657417933
224,0,60000,0.001,0.05,0.057517134587901336,0.0003123129606337898,0.05720482163441678,0.00031196674284516727,25.5744502325058,0.983812045370539
224,0,60000,0.01,0.05,0.571809998040398,0.0008977965957249883,0.5709122017224629,0.0009062359929873007,20.820973397890725,0.9207349097679058
224,0,60000,0.1,0.05,5.710908331473669,0.0017755017396472491,5.7091328308582305,0.0019722892050728358,18.01450531379382,0.6347396727104981
